x,u
0.000000, 0.000000
0.031416, -0.000004
0.062832, 0.000008
0.094248, -0.000021
0.125664, 0.000051
0.157080, -0.000122
0.188496, 0.000289
0.219911, -0.000682
0.251327, 0.001589
0.282743, -0.003652
0.314159, 0.008243
0.345575, -0.018159
0.376991, 0.038665
0.408407, -0.078197
0.439823, 0.144984
0.471239, -0.224609
0.502655, 0.186049
0.534071, 0.555648
0.565487, 0.778818
0.596903, 0.895709
0.628319, 0.952461
0.659734, 0.979036
0.691150, 0.990521
0.722566, 0.996734
0.753982, 0.996734
0.785398, 1.002947
0.816814, 0.991462
0.848230, 1.018037
0.879646, 0.961285
0.911062, 1.078177
0.942478, 0.855007
0.973894, 1.224606
1.005310, 0.813948
1.036726, 0.444355
1.068142, 0.221174
1.099557, 0.104312
1.130973, 0.047488
1.162389, 0.021085
1.193805, 0.009190
1.225221, 0.003948
1.256637, 0.001677
1.288053, 0.000705
1.319469, 0.000295
1.350885, 0.000122
1.382301, 0.000050
1.413717, 0.000021
1.445133, 0.000008
1.476549, 0.000003
1.507964, 0.000001
1.539380, 0.000001
1.570796, 0.000000
1.602212, 0.000000
1.633628, 0.000000
1.665044, 0.000000
1.696460, 0.000000
1.727876, 0.000000
1.759292, 0.000000
1.790708, 0.000000
1.822124, 0.000000
1.853540, 0.000000
1.884956, 0.000000
1.916372, 0.000000
1.947787, 0.000000
1.979203, 0.000000
2.010619, 0.000000
2.042035, 0.000000
2.073451, 0.000000
2.104867, 0.000000
2.136283, 0.000000
2.167699, 0.000000
2.199115, 0.000000
2.230531, 0.000000
2.261947, 0.000000
2.293363, 0.000000
2.324779, 0.000000
2.356194, 0.000000
2.387610, 0.000000
2.419026, 0.000000
2.450442, 0.000000
2.481858, 0.000000
2.513274, 0.000000
2.544690, 0.000000
2.576106, 0.000000
2.607522, 0.000000
2.638938, 0.000000
2.670354, 0.000000
2.701770, 0.000000
2.733186, 0.000000
2.764602, 0.000000
2.796017, 0.000000
2.827433, 0.000000
2.858849, 0.000000
2.890265, 0.000000
2.921681, 0.000000
2.953097, 0.000000
2.984513, 0.000000
3.015929, 0.000000
3.047345, 0.000000
3.078761, 0.000000
3.110177, 0.000000
